N,P,T,X_ZN,component,internal_dof,vertex,NP,GM,MU,X,Y,Phase,NP(FCC_A1),NP(HCP_A3),NP(LIQUID)
1.0,101325.0,540.0,0.4,AL,0,0,0.6788604459129237,-20444.101679969182,-17676.24166014404,0.8770359342060499,0.8770359342060499,FCC_A1,,,
1.0,101325.0,540.0,0.4,AL,0,1,0.3211395540870761,-20444.101679969182,-17676.24166014404,0.014370682665789138,0.014370682665789138,HCP_A3,,,
1.0,101325.0,540.0,0.4,AL,0,2,,-20444.101679969182,-17676.24166014404,,,,,,
1.0,101325.0,540.0,0.4,AL,1,0,0.6788604459129237,-20444.101679969182,-17676.24166014404,0.8770359342060499,0.12296406579395018,FCC_A1,,,
1.0,101325.0,540.0,0.4,AL,1,1,0.3211395540870761,-20444.101679969182,-17676.24166014404,0.014370682665789138,0.9856293173342109,HCP_A3,,,
1.0,101325.0,540.0,0.4,AL,1,2,,-20444.101679969182,-17676.24166014404,,,,,,
1.0,101325.0,540.0,0.4,ZN,0,0,0.6788604459129237,-20444.101679969182,-24595.89165732813,0.12296406579395018,0.8770359342060499,FCC_A1,,,
1.0,101325.0,540.0,0.4,ZN,0,1,0.3211395540870761,-20444.101679969182,-24595.89165732813,0.9856293173342109,0.014370682665789138,HCP_A3,,,
1.0,101325.0,540.0,0.4,ZN,0,2,,-20444.101679969182,-24595.89165732813,,,,,,
1.0,101325.0,540.0,0.4,ZN,1,0,0.6788604459129237,-20444.101679969182,-24595.89165732813,0.12296406579395018,0.12296406579395018,FCC_A1,,,
1.0,101325.0,540.0,0.4,ZN,1,1,0.3211395540870761,-20444.101679969182,-24595.89165732813,0.9856293173342109,0.9856293173342109,HCP_A3,,,
1.0,101325.0,540.0,0.4,ZN,1,2,,-20444.101679969182,-24595.89165732813,,,,,,
1.0,101325.0,550.0,0.4,AL,0,0,0.6923140082835805,-20964.828069132782,-18155.276153172766,0.8595739648847316,0.8595739648847316,FCC_A1,,,
1.0,101325.0,550.0,0.4,AL,0,1,0.3076859917164196,-20964.828069132782,-18155.276153172766,0.015941261826948907,0.015941261826948907,HCP_A3,,,
1.0,101325.0,550.0,0.4,AL,0,2,,-20964.828069132782,-18155.276153172766,,,,,,
1.0,101325.0,550.0,0.4,AL,1,0,0.6923140082835805,-20964.828069132782,-18155.276153172766,0.8595739648847316,0.14042603511526852,FCC_A1,,,
1.0,101325.0,550.0,0.4,AL,1,1,0.3076859917164196,-20964.828069132782,-18155.276153172766,0.015941261826948907,0.9840587381730511,HCP_A3,,,
1.0,101325.0,550.0,0.4,AL,1,2,,-20964.828069132782,-18155.276153172766,,,,,,
1.0,101325.0,550.0,0.4,ZN,0,0,0.6923140082835805,-20964.828069132782,-25179.155891949602,0.14042603511526852,0.8595739648847316,FCC_A1,,,
